Cod Istat;Comune di residenza;Numero casi al 18-03-2020
21117;La Valle;1
21116;Feldthurns;6
21115;Vipiteno;20
21111;Varna;12
21110;Vintl;6
21109;Gsies;1
21108;Ahrntal;1
21107;Pfitsch;10
21106;Olang;1
21105;Vadena;2
21104;Ulten;2
21102;Truden;8
21101;Tirolo;2
21100;Tires;18
21099;Tisens;9
21098;Termeno;1
21097;Terlan;9
21094;Schluderns;1
21093;Silandro;15
21089;Wolkenstein in Gröden;106
21087;Schenna;1
21086;Sarntal;1
21085;S.Cristina Valgardena;41
21084;St. Pankraz;4
21083;St.Martin in Passeier;6
21081;St.Lorenzen;2
21079;Jenesien;4
21077;Innichen;1
21076;Salorno;1
21075;Rodeneck;1
21074;Mühlbach;1
21072;Ritten;9
21070;Racines;6
21067;Prato allo Stelvio;3
21066;Postal;2
21063;Percha;1
21061;St.ulrich;139
21060;Ora;4
21059;Nova Ponente;46
21058;Welschnofen;22
21057;Natz-Schabs;21
21056;Naturns;4
21055;Nals;5
21054;Moos in Passeier;12
21053;Montan;2
21051;Merano;74
21050;Meltina;1
21049;Martello;1
21048;Marling;1
21047;Enneberg;8
21046;Mals;1
21042;Lasa;5
21041;Lana;6
21040;Laives;20
21039;Lajen;9
21038;Lagundo;1
21037;Latsch;6
21035;Gargazzone;3
21034;Gais;2
21033;Villnöss;10
21031;Fie' allo Sciliar;7
21030;Pfalzen;1
21029;Neumarkt;16
21028;Toblach;1
21026;Corvara in Badia;8
21023;Karneid;9
21022;Chiusa;6
21021;Kiens;3
21019;Kastelruth;66
21017;Sand in Taufers;5
21016;Campo di Trens;11
21015;Kaltern;22
21013;Bruneck;9
21012;Bronzolo;3
21011;Brixen;39
21010;Brenner;13
21008;Bozen;305
21007;Barbian;2
21006;Abtei;3
21004;Eppan;80
21001;Aldino;6